"","","Population using improved drinking-water sources (%)","Population using improved drinking-water sources (%)","Population using improved drinking-water sources (%)","Population using improved sanitation facilities (%)","Population using improved sanitation facilities (%)","Population using improved sanitation facilities (%)"
"Lesotho"," 1990","74.9","92.6","77.4","","",""
"Liberia"," 2015","62.6","88.6","75.6","5.9","28.0","16.9"
"Liberia"," 2000","51.4","76.2","62.4","3.8","24.8","13.1"
"Liberia"," 1990","","","","3.6","",""
"Libya"," 2015","","","","95.7","96.8","96.6"
"Libya"," 2000","68.4","72.1","71.2","95.7","96.8","96.5"
"Libya"," 1990","68.4","72.1","71.2","95.7","96.8","96.5"
"Lithuania"," 2015","90.4","99.7","96.6","82.8","97.2","92.4"
"Lithuania"," 2000","79.8","96.5","91.0","72.7","93.4","86.6"
"Lithuania"," 1990","72.3","94.3","87.2","66.0","90.8","82.8"
"Luxembourg"," 2015","100.0","100.0","100.0","98.5","97.5","97.6"
"Luxembourg"," 2000","100.0","100.0","100.0","98.8","97.5","97.7"
"Luxembourg"," 1990","100.0","100.0","100.0","98.9","97.5","97.8"
"Madagascar"," 2015","35.3","81.6","51.5","8.7","18.0","12.0"
"Madagascar"," 2000","24.0","75.5","38.0","8.0","16.4","10.3"
"Madagascar"," 1990","16.5","71.4","29.5","7.6","15.3","9.4"
"Malawi"," 2015","89.1","95.7","90.2","39.8","47.3","41.0"
"Malawi"," 2000","57.3","92.9","62.5","32.2","46.2","34.3"
"Malawi"," 1990","36.1","91.1","42.5","27.2","45.5","29.3"
"Malaysia"," 2015","93.0","100.0","98.2","95.9","96.1","96.0"
"Malaysia"," 2000","88.6","97.4","94.1","88.5","92.8","91.2"
"Malaysia"," 1990","85.5","95.2","90.3","82.7","89.8","86.2"
"Maldives"," 2015","97.9","99.5","98.6","98.3","97.5","97.9"
"Maldives"," 2000","93.3","99.9","95.2","72.5","97.7","79.4"
"Maldives"," 1990","90.8","100.0","93.2","57.6","97.7","68.0"
"Mali"," 2015","64.1","96.5","77.0","16.1","37.5","24.7"
"Mali"," 2000","37.2","70.4","46.6","11.9","33.4","18.0"
"Mali"," 1990","19.3","53.0","27.1","9.0","30.7","14.1"
"Malta"," 2015","100.0","100.0","100.0","100.0","100.0","100.0"
"Malta"," 2000","99.7","100.0","100.0","100.0","100.0","100.0"
"Malta"," 1990","98.3","100.0","99.8","100.0","100.0","100.0"
"Marshall Islands"," 2015","97.6","93.5","94.6","56.2","84.5","76.9"
"Marshall Islands"," 2000","95.8","91.9","93.1","47.6","80.4","70.1"
"Marshall Islands"," 1990","94.4","90.7","92.0","41.0","77.3","64.6"
"Mauritania"," 2015","57.1","58.4","57.9","13.8","57.5","40.0"
"Mauritania"," 2000","38.9","45.3","42.0","9.1","38.8","23.7"
"Mauritania"," 1990","24.9","35.2","29.1","6.5","28.7","15.6"
"Mauritius"," 2015","99.8","99.9","99.9","92.6","93.9","93.1"
"Mauritius"," 2000","98.9","99.8","99.2","89.8","93.4","91.4"
"Mauritius"," 1990","98.7","99.7","99.2","89.4","93.3","91.1"
"Mexico"," 2015","92.1","97.2","96.1","74.5","88.0","85.2"
"Mexico"," 2000","73.0","93.8","88.6","51.2","82.7","74.7"
"Mexico"," 1990","59.4","91.5","82.3","34.5","78.9","66.2"
"Micronesia (Federated States of)"," 2015","87.4","94.8","89.0","49.0","85.1","57.1"
"Micronesia (Federated States of)"," 2000","89.0","94.1","90.1","25.0","63.7","33.6"
"Micronesia (Federated States of)"," 1990","90.1","93.6","91.0","9.0","49.4","19.4"
"Monaco"," 2015","","100.0","100.0","","100.0","100.0"
"Monaco"," 2000","","100.0","100.0","","100.0","100.0"
"Monaco"," 1990","","100.0","100.0","","100.0","100.0"
"Mongolia"," 2015","59.2","66.4","64.4","42.6","66.4","59.7"
"Mongolia"," 2000","32.4","74.2","56.3","25.8","65.1","48.2"
"Mongolia"," 1990","21.7","77.3","53.4","","64.7",""
"Montenegro"," 2015","99.2","100.0","99.7","92.2","98.0","95.9"
"Montenegro"," 2000","94.5","99.0","97.1","87.0","90.8","89.2"
"Montenegro"," 1990","","99.0","","","",""
"Morocco"," 2015","65.3","98.7","85.4","65.5","84.1","76.7"
"Morocco"," 2000","58.3","95.8","78.3","43.1","82.2","64.0"
"Morocco"," 1990","53.0","93.6","72.6","25.8","80.7","52.4"
"Mozambique"," 2015","37.0","80.6","51.1","10.1","42.4","20.5"
"Mozambique"," 2000","27.3","74.8","41.1","4.7","36.9","14.1"
"Mozambique"," 1990","22.8","72.2","35.1","2.2","34.4","10.3"
"Myanmar"," 2015","74.4","92.7","80.6","77.1","84.3","79.6"
"Myanmar"," 2000","59.9","84.6","66.6","55.8","78.6","61.9"
"Myanmar"," 1990","51.5","79.9","58.5","","",""
"Namibia"," 2015","84.6","98.2","91.0","16.8","54.5","34.4"
"Namibia"," 2000","68.9","98.5","78.5","12.6","58.4","27.4"
"Namibia"," 1990","58.4","98.7","69.6","9.8","61.0","24.0"
"Nauru"," 2015","","96.5","96.5","","65.6","65.6"
"Nauru"," 2000","","93.0","93.0","","65.7","65.7"
"Nauru"," 1990","","","","","65.7","65.7"
"Nepal"," 2015","91.8","90.9","91.6","43.5","56.0","45.8"
"Nepal"," 2000","74.5","94.3","77.1","18.3","43.6","21.7"
"Nepal"," 1990","62.9","96.5","65.9","1.5","35.4","4.5"
"Netherlands"," 2015","100.0","100.0","100.0","99.9","97.5","97.7"
"Netherlands"," 2000","100.0","100.0","100.0","99.9","97.5","98.1"
"Netherlands"," 1990","100.0","100.0","100.0","99.9","97.5","98.3"
"New Zealand"," 2015","100.0","100.0","100.0","","",""
"New Zealand"," 2000","100.0","100.0","100.0","","",""
"New Zealand"," 1990","100.0","100.0","100.0","88.0","",""
"Nicaragua"," 2015","69.4","99.3","87.0","55.7","76.5","67.9"
"Nicaragua"," 2000","60.1","94.4","78.9","39.0","67.2","54.4"
"Nicaragua"," 1990","53.0","90.6","72.7","26.1","60.1","43.9"
"Niger"," 2015","48.6","100.0","58.2","4.6","37.9","10.9"
"Niger"," 2000","37.0","78.0","43.7","2.6","26.8","6.6"
"Niger"," 1990","28.8","61.1","33.7","1.2","18.9","3.9"
"Nigeria"," 2015","57.3","80.8","68.5","25.4","32.8","29.0"
"Nigeria"," 2000","37.7","78.2","51.8","33.1","35.8","34.0"
"Nigeria"," 1990","24.6","76.4","39.9","38.2","37.7","38.1"
"Niue"," 2015","98.6","98.4","98.5","100.0","100.0","100.0"
"Niue"," 2000","99.0","99.0","99.0","79.2","79.3","79.3"
"Niue"," 1990","99.1","99.2","99.1","","",""
"Norway"," 2015","100.0","100.0","100.0","98.3","98.0","98.1"
"Norway"," 2000","100.0","100.0","100.0","98.3","98.0","98.1"
"Norway"," 1990","100.0","100.0","100.0","98.3","98.0","98.1"
"Oman"," 2015","86.1","95.5","93.4","94.7","97.3","96.7"
"Oman"," 2000","75.4","87.4","84.0","71.0","96.1","89.0"
"Oman"," 1990","70.0","83.4","78.8","55.3","95.3","81.8"
"Pakistan"," 2015","89.9","93.9","91.4","51.1","83.1","63.5"
"Pakistan"," 2000","85.0","95.4","88.5","19.6","71.6","36.9"
"Pakistan"," 1990","81.8","96.5","86.3","4.9","66.2","23.7"
"Palau"," 2015","","97.0","","100.0","100.0","100.0"
"Palau"," 2000","80.4","97.3","92.2","63.4","88.6","81.0"
"Palau"," 1990","72.4","97.7","90.0","7.8","63.4","46.5"
"Panama"," 2015","88.6","97.7","94.7","58.0","83.5","75.0"
"Panama"," 2000","75.9","97.8","89.5","46.7","79.0","66.8"
"Panama"," 1990","67.5","97.8","83.8","39.3","75.9","59.0"
"Papua New Guinea"," 2015","32.8","88.0","40.0","13.3","56.4","18.9"
"Papua New Guinea"," 2000","27.1","87.5","35.1","13.0","59.9","19.2"
"Papua New Guinea"," 1990","24.3","87.3","33.8","12.9","61.6","20.2"
"Paraguay"," 2015","94.9","100.0","98.0","78.4","95.5","88.6"
"Paraguay"," 2000","51.6","91.0","73.4","50.7","83.0","68.5"
"Paraguay"," 1990","22.7","84.9","53.0","32.2","73.6","52.3"
"Peru"," 2015","69.2","91.4","86.7","53.2","82.5","76.2"
"Peru"," 2000","54.0","89.4","79.8","29.6","75.3","62.9"
"Peru"," 1990","43.9","88.0","74.3","13.8","70.5","52.8"
"Philippines"," 2015","90.3","93.7","91.8","70.8","77.9","73.9"
"Philippines"," 2000","82.5","92.0","87.1","55.9","72.5","63.8"
"Philippines"," 1990","77.3","90.9","83.9","45.9","68.9","57.1"
"Poland"," 2015","96.9","99.3","98.3","96.7","97.5","97.2"
"Poland"," 2000","91.0","99.0","95.9","75.8","94.0","87.0"
"Poland"," 1990","87.2","98.8","94.3","","94.0",""
"Portugal"," 2015","100.0","100.0","100.0","99.8","99.6","99.7"
"Portugal"," 2000","97.1","98.7","98.0","93.7","98.2","96.2"
"Portugal"," 1990","94.6","97.7","96.1","88.8","97.1","92.8"
"Qatar"," 2015","100.0","100.0","100.0","98.0","98.0","98.0"
"Qatar"," 2000","99.1","99.1","99.1","99.4","99.4","99.4"
"Qatar"," 1990","","","","99.9","99.9","99.9"
"Republic of Korea"," 2015","","99.7","","100.0","100.0","100.0"
"Republic of Korea"," 2000","75.3","98.1","93.4","100.0","100.0","100.0"
"Republic of Korea"," 1990","","97.0","","100.0","100.0","100.0"
"Republic of Moldova"," 2015","81.4","96.9","88.4","67.1","87.8","76.4"
"Republic of Moldova"," 2000","75.2","96.7","85.1","60.8","86.7","72.7"
"Republic of Moldova"," 1990","","96.6","","","86.3",""
"Romania"," 2015","100.0","100.0","100.0","63.3","92.2","79.1"
"Romania"," 2000","72.7","96.6","85.3","55.6","89.8","73.8"
"Romania"," 1990","51.6","93.5","73.9","50.1","88.2","70.4"
"Russian Federation"," 2015","91.2","98.9","96.9","58.7","77.0","72.2"
"Russian Federation"," 2000","85.6","98.2","94.9","58.5","77.5","72.5"
"Russian Federation"," 1990","81.6","97.8","93.4","58.3","77.9","72.7"
"Rwanda"," 2015","71.9","86.6","76.1","62.9","58.5","61.6"
"Rwanda"," 2000","62.9","85.5","66.3","44.2","60.2","46.6"
"Rwanda"," 1990","57.0","84.8","58.5","31.7","61.3","33.3"
"Saint Kitts and Nevis"," 2015","98.3","98.3","98.3","","",""
"Saint Kitts and Nevis"," 2000","98.3","98.3","98.3","87.3","87.3","87.3"
"Saint Kitts and Nevis"," 1990","98.3","98.3","98.3","","",""
"Saint Lucia"," 2015","95.6","99.5","96.3","91.9","84.7","90.5"
"Saint Lucia"," 2000","93.1","97.1","94.2","83.6","81.7","83.1"
"Saint Lucia"," 1990","91.3","95.4","92.5","77.7","79.6","78.2"
"Saint Vincent and the Grenadines"," 2015","95.1","95.1","95.1","","",""
"Saint Vincent and the Grenadines"," 2000","93.5","93.5","93.5","73.2","73.2","73.2"
"Saint Vincent and the Grenadines"," 1990","88.2","88.2","88.2","63.2","63.2","63.2"
"Samoa"," 2015","99.3","97.5","99.0","91.1","93.3","91.5"
"Samoa"," 2000","92.3","97.0","93.3","91.8","93.9","92.2"
"Samoa"," 1990","86.9","96.6","88.9","92.3","94.3","92.7"
"Sao Tome and Principe"," 2015","93.6","98.9","97.1","23.3","40.8","34.7"
"Sao Tome and Principe"," 2000","69.8","85.5","78.2","14.4","26.6","20.9"
"Saudi Arabia"," 2015","97.0","97.0","97.0","100.0","100.0","100.0"
"Saudi Arabia"," 2000","95.0","95.0","95.0","96.8","96.8","96.8"
"Saudi Arabia"," 1990","92.0","92.0","92.0","91.5","91.5","91.5"
"Senegal"," 2015","67.3","92.9","78.5","33.8","65.4","47.6"
"Senegal"," 2000","51.7","90.6","67.4","26.2","61.1","40.3"
"Senegal"," 1990","41.3","89.1","59.9","21.1","58.2","35.5"
"Serbia"," 2015","98.9","99.4","99.2","94.2","98.2","96.4"
"Serbia"," 2000","99.2","99.6","99.4","96.0","97.7","96.9"
"Serbia"," 1990","99.2","99.6","99.4","96.0","97.7","96.8"
"Seychelles"," 2015","95.7","95.7","95.7","98.4","98.4","98.4"
"Seychelles"," 2000","95.7","95.7","95.7","98.4","98.4","98.4"
"Seychelles"," 1990","95.7","95.7","95.7","98.4","98.4","98.4"
"Sierra Leone"," 2015","47.8","84.9","62.6","6.9","22.8","13.3"
"Sierra Leone"," 2000","31.3","75.8","47.2","5.5","22.0","11.3"
"Sierra Leone"," 1990","20.3","69.7","36.7","4.5","21.4","10.1"
"Singapore"," 2015","","100.0","100.0","","100.0","100.0"
"Singapore"," 2000","","100.0","100.0","","99.7","99.7"
"Singapore"," 1990","","100.0","100.0","","99.2","99.2"
"Slovakia"," 2015","100.0","100.0","100.0","98.2","99.4","98.8"
"Slovakia"," 2000","99.6","100.0","99.8","98.2","99.4","98.9"
"Slovakia"," 1990","99.6","100.0","99.8","98.2","99.4","98.9"
"Slovenia"," 2015","99.4","99.7","99.5","99.1","99.1","99.1"
"Slovenia"," 2000","99.4","99.8","99.6","99.1","99.1","99.1"
"Slovenia"," 1990","99.4","99.8","99.6","99.1","99.1","99.1"
"Solomon Islands"," 2015","77.2","93.2","80.8","15.0","81.4","29.8"
"Solomon Islands"," 2000","77.2","93.2","79.7","15.0","81.4","25.5"
"Somalia"," 2000","16.4","37.7","23.5","10.3","45.0","21.8"
"South Africa"," 2015","81.4","99.6","93.2","60.5","69.6","66.4"
"South Africa"," 2000","70.6","98.5","86.5","45.6","66.0","57.2"
"South Africa"," 1990","66.3","98.1","82.8","37.6","64.0","51.4"
"South Sudan"," 2015","56.9","66.7","58.7","4.5","16.4","6.7"
"Spain"," 2015","100.0","100.0","100.0","100.0","99.8","99.9"
"Spain"," 2000","100.0","99.9","99.9","100.0","99.9","99.9"
"Spain"," 1990","100.0","99.9","99.9","100.0","99.9","99.9"
"Sri Lanka"," 2015","95.0","98.5","95.6","96.7","88.1","95.1"
"Sri Lanka"," 2000","76.3","94.8","79.7","80.3","85.1","81.2"
"Sri Lanka"," 1990","62.9","92.2","68.3","67.9","83.0","70.7"
"Sudan"," 2000","56.0","76.3","62.0","16.0","48.1","25.4"
"Sudan"," 1990","61.3","85.6","67.4","18.3","52.0","26.8"
"Suriname"," 2015","88.4","98.1","94.8","61.4","88.4","79.2"
"Suriname"," 2000","72.5","97.8","89.3","63.5","89.8","80.9"
"Suriname"," 1990","","97.8","","","99.1",""
"Swaziland"," 2015","68.9","93.6","74.1","56.0","63.1","57.5"
"Swaziland"," 2000","41.1","88.8","51.9","48.6","62.8","51.8"
"Swaziland"," 1990","24.9","86.0","38.9","44.3","62.6","48.5"
"Sweden"," 2015","100.0","100.0","100.0","99.6","99.3","99.3"
"Sweden"," 2000","100.0","100.0","100.0","99.7","99.2","99.3"
"Sweden"," 1990","100.0","100.0","100.0","99.6","99.2","99.3"
"Switzerland"," 2015","100.0","100.0","100.0","99.8","99.9","99.9"
"Switzerland"," 2000","100.0","100.0","100.0","99.9","99.9","99.9"
"Switzerland"," 1990","100.0","100.0","100.0","99.9","99.9","99.9"
"Syrian Arab Republic"," 2015","87.2","92.3","90.1","95.1","96.2","95.7"
"Syrian Arab Republic"," 2000","79.1","95.3","87.5","81.5","95.3","88.6"
"Syrian Arab Republic"," 1990","75.0","96.8","85.7","74.7","94.8","84.5"
"Tajikistan"," 2015","66.7","93.1","73.8","95.5","93.8","95.0"
"Tajikistan"," 2000","47.8","92.3","59.6","89.7","92.4","90.4"
"Tajikistan"," 1990","","","","","92.1",""
"Thailand"," 2015","98.0","97.6","97.8","96.1","89.9","93.0"
"Thailand"," 2000","89.7","96.6","91.9","92.2","89.4","91.3"
"Thailand"," 1990","83.7","95.9","87.3","86.0","88.9","86.9"
"The former Yugoslav republic of Macedonia"," 2015","98.9","99.8","99.4","82.6","97.2","90.9"
"The former Yugoslav republic of Macedonia"," 2000","98.5","99.8","99.3","85.0","93.3","89.8"
"The former Yugoslav republic of Macedonia"," 1990","98.5","99.8","99.3","","93.3",""
"Timor-Leste"," 2015","60.5","95.2","71.9","26.8","69.0","40.6"
"Timor-Leste"," 2000","49.7","68.9","54.3","32.5","52.7","37.4"
"Togo"," 2015","44.2","91.4","63.1","2.9","24.7","11.6"
"Togo"," 2000","38.6","84.1","53.6","5.3","23.9","11.4"
"Togo"," 1990","34.8","79.3","47.5","6.9","23.3","11.6"
"Tonga"," 2015","99.6","99.7","99.6","89.0","97.6","91.0"
"Tonga"," 2000","99.0","97.4","98.6","91.7","97.3","93.0"
"Tonga"," 1990","99.0","97.4","98.6","93.6","97.1","94.4"
"Trinidad and Tobago"," 2015","95.1","95.1","95.1","91.5","91.5","91.5"
"Trinidad and Tobago"," 2000","93.3","93.3","93.3","90.7","90.7","90.7"
"Trinidad and Tobago"," 1990","91.6","91.6","91.6","89.9","89.9","89.9"
"Tunisia"," 2015","93.2","100.0","97.7","79.8","97.4","91.6"
"Tunisia"," 2000","76.4","97.6","89.9","58.3","95.4","81.9"
"Tunisia"," 1990","64.4","95.7","82.5","43.0","94.0","72.6"
"Turkey"," 2015","100.0","100.0","100.0","85.5","98.3","94.9"
"Turkey"," 2000","84.7","96.8","92.6","72.0","96.9","88.1"
"Turkey"," 1990","74.7","94.2","86.2","63.8","96.1","82.9"
"Turkmenistan"," 2000","34.6","89.1","59.6","49.9","76.9","62.3"
"Tuvalu"," 2015","97.0","98.3","97.7","","86.3",""
"Tuvalu"," 2000","93.0","95.1","94.0","76.0","81.1","78.4"
"Tuvalu"," 1990","88.6","91.6","89.8","71.4","75.4","73.1"
"Uganda"," 2015","75.8","95.5","79.0","17.3","28.5","19.1"
"Uganda"," 2000","52.4","85.4","56.4","13.8","28.3","15.6"
"Uganda"," 1990","35.7","78.1","40.4","11.4","28.1","13.2"
"Ukraine"," 2015","97.8","95.5","96.2","92.6","97.4","95.9"
"Ukraine"," 2000","93.0","99.9","97.6","89.7","97.1","94.7"
"Ukraine"," 1990","","100.0","","","97.1",""
"United Arab Emirates"," 2015","100.0","99.6","99.6","95.2","98.0","97.6"
"United Arab Emirates"," 2000","100.0","99.6","99.7","95.2","98.0","97.4"
"United Arab Emirates"," 1990","100.0","99.6","99.7","95.2","98.0","97.4"
"United Kingdom of Great Britain and Northern Ireland"," 2015","100.0","100.0","100.0","99.6","99.1","99.2"
"United Kingdom of Great Britain and Northern Ireland"," 2000","100.0","100.0","100.0","99.6","99.1","99.2"
"United Kingdom of Great Britain and Northern Ireland"," 1990","100.0","100.0","100.0","99.6","99.1","99.2"
"United Republic of Tanzania"," 2015","45.5","77.2","55.6","8.3","31.3","15.6"
"United Republic of Tanzania"," 2000","45.3","85.9","54.4","7.2","16.3","9.3"
"United Republic of Tanzania"," 1990","45.2","91.6","53.9","6.6","6.3","6.5"
"United States of America"," 2015","98.2","99.4","99.2","100.0","100.0","100.0"
"United States of America"," 2000","95.8","99.6","98.8","99.2","99.9","99.7"
"United States of America"," 1990","94.0","99.8","98.4","98.6","99.8","99.5"
"Uruguay"," 2015","93.9","100.0","99.7","92.6","96.6","96.4"
"Uruguay"," 2000","77.0","98.5","96.8","84.3","94.3","93.5"
"Uruguay"," 1990","70.3","97.8","94.8","81.0","93.3","92.0"
"Uzbekistan"," 2015","","98.5","","100.0","100.0","100.0"
"Uzbekistan"," 2000","83.4","97.6","88.7","86.9","97.5","90.9"
"Uzbekistan"," 1990","85.3","97.0","90.0","75.8","95.4","83.7"
"Vanuatu"," 2015","92.9","98.9","94.5","55.4","65.1","57.9"
"Vanuatu"," 2000","70.3","95.7","75.8","38.1","54.4","41.7"
"Vanuatu"," 1990","55.2","93.5","62.4","","",""
"Venezuela (Bolivarian Republic of)"," 2015","77.9","95.0","93.1","69.9","97.5","94.4"
"Venezuela (Bolivarian Republic of)"," 2000","72.5","93.6","91.1","56.0","92.7","88.3"
"Venezuela (Bolivarian Republic of)"," 1990","68.4","92.6","88.8","45.3","89.0","82.1"
"Viet Nam"," 2015","96.9","99.1","97.6","69.7","94.4","78.0"
"Viet Nam"," 2000","72.2","93.6","77.4","45.2","76.7","52.9"
"Viet Nam"," 1990","55.7","90.0","62.7","28.9","64.9","36.2"
"Yemen"," 2000","51.9","82.5","59.9","24.1","82.4","39.4"
"Yemen"," 1990","58.5","95.7","66.3","11.5","69.8","23.7"
"Zambia"," 2015","51.3","85.6","65.4","35.7","55.6","43.9"
"Zambia"," 2000","34.7","87.3","53.0","31.5","57.6","40.6"
"Zambia"," 1990","23.6","88.4","49.2","28.6","58.9","40.6"
"Zimbabwe"," 2015","67.3","97.0","76.9","30.8","49.3","36.8"
"Zimbabwe"," 2000","69.6","98.6","79.4","33.3","50.8","39.2"
"Zimbabwe"," 1990","71.2","99.6","79.4","35.0","51.9","39.9"
